shift_id,date,day_of_week,time_of_day,start_location,end_location_street,end_location_zip,expected_earnings,actual_earnings,duration,distance,time_requested
110,2024-01-10,Wednesday,Breakfast,McDonald's (6680 N 5th St),W Deer Springs Way,89084,2.25,2.25,18.88,1,10:47
110,2024-01-10,Wednesday,Breakfast,Sierra Gold (6929 N Aliante Pkwy),Acacia Grove St,89031,3.08,3.08,18.47,6.3,10:57
110,2024-01-10,Wednesday,Lunch,KFC (5700 Losee Rd),N Lamb Blvd,89115,7.77,7.71,25.57,8.5,11:26
110,2024-01-10,Wednesday,Lunch,Denny's (420 E Deer Springs Way),Calumet Point St,89081,6.79,6.79,20.40,7.4,11:48
110,2024-01-10,Wednesday,Lunch,Jack in the Box (6345 N Losee Rd),Granite Ash Ave,89081,3.33,3.33,13.83,3.8,12:19
110,2024-01-10,Wednesday,Lunch,Harold's Chicken Shack (6320 Simmons St),Sassa St,89130,5.07,5.07,11.05,3.3,12:37
110,2024-01-10,Wednesday,Lunch,Saladworks (6572 N Decatur Blvd),Rialto Rd,89108,5.28,5.28,20.38,7.8,12:49
110,2024-01-10,Wednesday,Lunch,Roberto's Taco Shop (4725 N Rancho Dr),Red Saturn Dr,89130,4.27,4.27,14.13,4,13:21
111,2024-01-10,Wednesday,Dinner,Chili's Grill & Bar (6505 N Decautr Blvd),E Rome Blvd,89084,4.03,4.03,16.98,6.4,16:34
111,2024-01-10,Wednesday,Dinner,Zen Curry Dining (225 W Centennial Pkwy),Legend Falls St,89081,17.04,15.58,31.35,6.5,17:01
111,2024-01-10,Wednesday,Dinner,Zen Curry Dining (225 W Centennial Pkwy),Ropers Rock Ct,89131,5.09,5.09,20.88,9,17:32
111,2024-01-10,Wednesday,Dinner,China A Go-Go (5960 Losee Rd),Annville Ct,89081,7.16,7.16,17.38,3,17:33
112,2024-01-11,Thursday,Breakfast,The Burger Den (7071 W Craig Rd),Sky Pointe Dr,89130,5.49,5.49,32.17,9.1,6:09
112,2024-01-11,Thursday,Breakfast,Taco Bell (3260 N Durango Rd),Canyon Magic Ave,89129,4.55,4.55,17.33,6.3,6:24
112,2024-01-11,Thursday,Breakfast,7-Eleven (3250 N Durango Rd),N Rampart Blvd,89128,4.00,4.00,13.97,1.2,7:07
112,2024-01-11,Thursday,Breakfast,Walgreens (8500 W Cheyenne Ave),Country Pines Ave,89129,5.00,5.00,9.53,1.4,7:34
112,2024-01-11,Thursday,Breakfast,McDonald's (8425 W Centennial Pkwy),Deer Springs Way,89149,3.70,3.70,24.28,1,7:38
112,2024-01-11,Thursday,Breakfast,Starbucks (7170 N Durango Dr),Green Ferry Ave,89131,5.05,5.05,23.22,5.6,8:09
113,2024-01-12,Friday,Dinner,Jack in the Box (6445 N Aliante Pkwy),Villa Pisani Ct,89031,3.00,3.00,7.78,1.3,16:01
113,2024-01-12,Friday,Dinner,Rocco's New York Pizza (6885 N Aliante Pkwy),Coral Gables Dr,89130,5.01,5.01,16.80,4.8,16:13
113,2024-01-12,Friday,Dinner,Rivas Mexican Grill (6885 N Aliante Pkwy),Cabot Falls Ave,89149,8.52,8.52,23.78,10.3,17:02
113,2024-01-12,Friday,Dinner,Buffalo Wild Wings (150 E Centennial Pkwy),Saddlebill Ct,89084,10.98,13.49,12.87,3,17:02
113,2024-01-12,Friday,Dinner,Burger King (9640 W Skye Canyon Park Rd),Oso Blanca Rd,89149,4.42,4.42,13.17,3.2,17:37
113,2024-01-12,Friday,Dinner,Bowlology (5635 Centennial Center Blvd),Aztec Heights St,89081,10.15,10.63,34.60,14.3,17:40
113,2024-01-12,Friday,Dinner,Roberto's Taco Shop (5725 Losee Rd),Bounding Home Rd,89086,4.90,4.90,23.88,5.2,18:22
113,2024-01-12,Friday,Dinner,Golden Phoenix Chinese Restaurant (2345 Centennial Pkwy),Moon Hill Rock Ave,89084,13.06,13.06,18.35,7.9,18:54
114,2024-01-13,Saturday,Breakfast,Roberto's Taco Shop (6335 N Commerce St),Morning Splash Ave,89131,8.72,8.72,31.68,8.4,7:49
114,2024-01-13,Saturday,Breakfast,7-Eleven (6620 N 5th St),E Azure Ave,89081,5.00,5.00,11.52,2.8,7:39
114,2024-01-13,Saturday,Breakfast,Chick-fil-A (1720 W Craig Rd),Thorntree Ave,89031,3.49,3.49,19.00,5.3,7:24
114,2024-01-13,Saturday,Breakfast,Jack in the Box (5536 N Camino Al Norte),Royal Yacht Way ,89031,2.00,2.00,8.42,2.7,7:22
114,2024-01-13,Saturday,Breakfast,McDonald's (5740 Losee Rd),Hollycroft Dr,89081,6.92,6.92,19.45,4.9,6:45
115,2024-01-13,Saturday,Dinner,Roberto's Taco Shop (7155 Grand Montecito Pkwy),Rancho Camino Ct,89129,6.05,6.05,18.18,5.4,18:28
115,2024-01-13,Saturday,Dinner,Don Tortaco #7 (9859 W Deer Srpings Way),N Durango Dr,89149,5.12,5.12,12.80,2.6,18:17
115,2024-01-13,Saturday,Dinner,Taco Bell (8043 N Durango Dr),Grissy Butte Ct,89149,7.36,7.36,12.85,3.6,18:06
115,2024-01-13,Saturday,Dinner,Panda Express (6475 N Decatur Blvd),Colorful Pines Ave,89143,10.74,10.74,27.62,10.4,17:37
115,2024-01-13,Saturday,Dinner,Lulu Hawaiian BBQ (6512 N Decatur Blvd),Aliante Pkwy,89084,7.36,7.36,20.65,5,17:13
115,2024-01-13,Saturday,Dinner,The Habit Burger Grill (6482 N Decatur Blvd),Flower Moon Ave,89084,5.02,5.02,17.13,2.7,16:51
115,2024-01-13,Saturday,Dinner,Roberto's Taco Shop (6320 Simmons St),Mmmorning Splash Ave,89131,6.68,6.68,20.03,5.3,16:16
116,2024-01-14,Sunday,Lunch,Capriotti's Sandwich Shop (7300 N Aliante Pkwy),Vass Springs Pl,89084,5.33,5.33,16.23,3.6,13:43
116,2024-01-14,Sunday,Lunch,Taco Bell (2760 W Ann Rd),Mojave Evening St,89084,4.69,4.69,16.55,6,13:21
116,2024-01-14,Sunday,Lunch,Subway (6770 N Durango Dr),Sky Pointe Dr,89130,6.79,6.79,25.07,8.2,12:14
116,2024-01-14,Sunday,Lunch,Panda Express (6475 N Decatur Blvd),Killian Ave,89084,5.64,5.64,14.87,2.9,12:10
117,2024-01-14,Sunday,Dinner,Geisha House of Steak & Sushi (6572 N Decatur Blvd),Mountain Rail Dr,89084,4.59,4.59,18.08,5,18:20
117,2024-01-14,Sunday,Dinner,Five Guys (2520 E Craig Rd),Porticella Ave,89084,7.39,7.39,27.73,11,17:46
117,2024-01-14,Sunday,Dinner,Taco Bell (355 W Centennial Pkwy),Sierra Breeze Ave,89031,4.00,4.00,11.33,1.3,17:30
117,2024-01-14,Sunday,Dinner,Pizza Hut (6355 N Commerce St),Pine Willow Ct,89084,3.78,3.78,7.05,1,17:08
118,2024-01-15,Monday,Lunch,Jersey Mike's (5595 Simmons St),Nnnaff Ridge Dr,89131,5.70,5.70,28.58,5,13:15
118,2024-01-15,Monday,Lunch,Roberto's Taco Shop (6320 Simmons St),Iberville St,89031,7.80,7.80,10.23,2.2,13:02
118,2024-01-15,Monday,Lunch,The Habit Burger Grill (6482 N Decatur Blvd),W Ann Rd,89031,4.60,4.60,19.05,4,13:38
118,2024-01-15,Monday,Lunch,Smashburger (5655 Centennial Center Blvd),W Rome Blvd,89084,6.23,6.23,22.97,7.8,12:15
118,2024-01-15,Monday,Lunch,Capriotti's Sandwich Shop (7240 W Azure Rd),W Prairie Run Ave,89149,4.60,4.60,15.03,4.3,11:56
118,2024-01-15,Monday,Lunch,McDonald's (6595 N Decatur Blvd),California Condor Ave,89084,4.30,4.30,16.87,3.1,11:34
